"Runtime","Genre","Rating","Year"
141,"Drama",7.8,2013
130,"Animation",8.1,2016
149,"Adventure",8.3,1981
131,"Drama",7.6,2001
136,"Biography",7.8,2005
94,"Drama",7.8,2008
120,"Action",7.8,2000
133,"Drama",8,1988
124,"Biography",7.6,2001
155,"Drama",8.5,1988
106,"Comedy",8,1974
125,"Biography",8,1975
144,"Crime",7.9,1993
121,"Crime",8,2018
114,"Adventure",7.9,1973
95,"Animation",7.6,2010
101,"Animation",7.7,2012
124,"Drama",7.6,2005
100,"Action",7.6,2007
129,"Drama",8.2,2009
143,"Adventure",8,2006
146,"Action",7.7,2004
141,"Drama",7.8,2009
162,"Drama",8.2,1979
122,"Action",7.6,2005
152,"Crime",7.8,2009
132,"Comedy",7.8,1993
145,"Drama",8.1,1984
103,"Comedy",8.3,1952
129,"Crime",8.2,1962
127,"Biography",7.7,1997
130,"Biography",7.7,1973
113,"Comedy",7.7,1954
98,"Crime",8.1,1995
101,"Action",7.6,2011
212,"Adventure",8.1,1959
134,"Action",7.6,2017
101,"Drama",7.6,2017
130,"Drama",7.7,1991
101,"Comedy",7.8,1993
136,"Adventure",8.3,1959
124,"Biography",8.1,1980
100,"Animation",7.7,2014
109,"Drama",7.9,2008
129,"Adventure",7.8,1975
81,"Animation",8,1997
125,"Comedy",8.3,1960
100,"Mystery",7.6,1998
127,"Adventure",7.9,2012
151,"Biography",8,1973
172,"Adventure",8.2,1963
157,"Biography",7.8,1999
127,"Action",7.9,1978
122,"Comedy",8.1,2014
188,"Drama",8.1,1982
96,"Drama",8.2,1957
121,"Comedy",8.2,1959
130,"Crime",7.7,1986
80,"Crime",8,1948
153,"Action",7.7,1987
113,"Drama",7.8,1969
123,"Biography",7.7,2006
121,"Crime",7.8,1993
123,"Drama",7.6,2008
101,"Animation",7.9,2018
108,"Action",7.8,1999
93,"Comedy",7.7,1998
115,"Comedy",7.7,2002
97,"Comedy",7.7,1985
108,"Film-Noir",7.8,1943
86,"Animation",8.2,1988
124,"Animation",8,1988
92,"Animation",7.9,1999
94,"Drama",7.8,1978
197,"Adventure",7.9,1960
93,"Biography",8.1,2009
115,"Crime",7.7,1990
134,"Mystery",7.6,1997
94,"Action",7.8,1973
138,"Drama",8,1963
103,"Adventure",7.8,2017
131,"Crime",7.8,2013
110,"Drama",7.6,2006
109,"Action",7.6,2012
83,"Animation",8,1995
80,"Drama",8.1,2004
82,"Comedy",7.9,1984
114,"Action",7.6,2000
85,"Comedy",7.6,1988
113,"Drama",7.8,1974
122,"Action",7.7,2007
119,"Drama",7.6,1988
100,"Comedy",7.6,NA
83,"Animation",7.6,1937
120,"Drama",7.6,2011
147,"Biography",7.8,2015
110,"Drama",8.4,1950
133,"Action",8.6,1962
124,"Crime",7.6,2003
119,"Adventure",7.9,1956
153,"Drama",8.3,1927
220,"Adventure",7.9,1956
114,"Action",8.1,1949
93,"Comedy",8,1977
108,"Biography",7.8,1999
133,"Biography",8.1,1993
94,"Comedy",8.1,1979
87,"Drama",7.9,2007
110,"Biography",8,1969
197,"Drama",8,1965
121,"Biography",7.8,1990
170,"Drama",7.8,1964
127,"Crime",8.1,1967
109,"Drama",7.9,2013
99,"Action",8,1964
113,"Comedy",7.9,1963
150,"Action",8,2014
100,"Crime",7.7,1992
154,"Drama",8.1,2000
102,"Action",7.7,1971
123,"Drama",8.3,2011
120,"Action",7.9,2002
116,"Comedy",7.7,1991
117,"Adventure",7.9,2006
102,"Comedy",8.1,1994
106,"Action",8,2008
154,"Drama",7.8,1985
124,"Drama",7.6,2008
140,"Biography",7.6,2007
102,"Animation",7.8,2014
138,"Biography",8,1976
132,"Western",8.3,1965
139,"Drama",8.1,NA
99,"Crime",7.6,1984
114,"Crime",7.9,2008
139,"Crime",8.3,2018
92,"Comedy",7.7,1994
181,"Drama",8,1971
135,"Drama",8,1996
97,"Drama",7.7,1995
104,"Action",7.7,1971
121,"Drama",8.1,1976
180,"Crime",8,1993
191,"Biography",8,1982
202,"Biography",7.7,1992
127,"Biography",7.8,1994
78,"Animation",7.6,1967
118,"Comedy",8,1953
111,"Action",7.8,1967
132,"Drama",7.7,2001
113,"Action",7.7,1982
106,"Comedy",7.9,2016
167,"Drama",8.1,1972
108,"Crime",7.6,1997
165,"Drama",8.4,2007
161,"Adventure",8.1,1957
196,"Drama",8.1,2014
88,"Drama",8.4,1957
90,"Crime",7.8,1960
122,"Drama",8,1951
100,"Comedy",7.9,NA
106,"Biography",7.7,2004
121,"Biography",8.1,2004
99,"Comedy",8.1,1940
109,"Comedy",7.8,1982
124,"Drama",7.7,1980
104,"Drama",8.3,2018
135,"Drama",7.6,1995
101,"Crime",7.9,1951
162,"Action",8.2,1985
98,"Drama",7.7,2011
105,"Drama",7.8,1979
100,"Comedy",7.6,2011
158,"Action",7.7,1968
101,"Animation",7.7,2008
111,"Drama",7.6,1966
117,"Crime",8.3,1931
112,"Mystery",7.6,2012
129,"Crime",7.8,2009
116,"Drama",7.7,2005
117,"Animation",8.1,1984
84,"Action",7.8,1987
122,"Biography",7.7,2008
83,"Animation",7.6,1973
86,"Animation",8,1999
99,"Action",7.7,2004
147,"Action",8.5,2017
102,"Crime",7.9,1994
108,"Crime",8.1,1954
128,"Crime",7.8,1988
116,"Crime",8.4,1957
112,"Action",7.6,1979
102,"Action",7.7,1973
104,"Film-Noir",8.1,1949
95,"Crime",8,1958
130,"Action",7.6,2014
144,"Biography",8,2005
100,"Action",7.8,1948
134,"Drama",7.8,1993
138,"Drama",8.2,1950
101,"Crime",7.7,2006
90,"Animation",7.7,2006
105,"Comedy",7.7,2015
163,"Biography",7.7,1987
99,"Comedy",7.7,1995
103,"Animation",7.8,1989
100,"Adventure",7.9,1933
174,"Comedy",8,1960
90,"Comedy",7.7,NA
96,"Horror",7.9,1968
132,"Drama",8.3,2019
321,"Action",8.2,2012
103,"Biography",7.9,1989
121,"Biography",7.6,1978
110,"Action",7.7,2006
150,"Action",7.7,1967
146,"Biography",7.6,1999
107,"Crime",8.3,1944
85,"Drama",8.1,1966
144,"Adventure",7.6,1970
123,"Drama",7.9,1979
85,"Drama",7.9,1952
125,"Animation",8,1986
135,"Western",7.8,1976
112,"Comedy",7.9,1940
119,"Action",7.8,2010
110,"Action",8.2,1961
96,"Comedy",7.9,1979
101,"Comedy",7.9,2020
124,"Drama",7.8,1972
159,"Action",8,2015
137,"Drama",7.7,2015
105,"Crime",8.2,1954
87,"Comedy",8.5,1936
95,"Drama",8.1,1982
111,"Drama",7.7,1955
116,"Comedy",7.7,2015
140,"Crime",8,2000
100,"Drama",7.9,2016
134,"Comedy",7.7,1998
102,"Drama",7.9,1946
141,"Action",8,1959
118,"Drama",7.6,1953
145,"Action",7.9,1969
88,"Crime",8.2,1950
153,"Comedy",8.1,2014
110,"Crime",7.9,1967
96,"Drama",8,2013
94,"Fantasy",7.9,1922
129,"Comedy",7.7,1952
141,"Action",7.9,2006
242,"Drama",7.7,1996
125,"Comedy",8.4,1940
112,"Biography",8,1999
138,"Crime",7.6,NA
128,"Drama",8,1987
163,"Crime",8.2,2015
